Calm1
Sema6b
Tubb5
Ppp1cb
Dnal4
Atp1b1
Dab1
Efcab8
Shisa7
Zbtb2
Tomm20
Polr2a
Syt7
Bcar1
Rps16-ps2
Dpp6
Trim9
Pebp1
Sncb
Abat
Rpl3
Syn2
Mt1
mt-Rnr2
Hsph1
Map2k1
Bex2
Scrn1
Apoe
Nxt1
Gm28437
Gm10925
Ccdc71l
mt-Rnr1
Gm13341
Ssrp1
Tmem106b
Akirin2
Rcn2
Ndufs4
Dpysl2
Gng13
Bhlhe41
Fxyd1
Sgsm2
Gm43841
Amph
Acap3
Zbtb20
Ndufs5
Hmgn5
Cpne6
Idh3b
Clec2l
mt-Tw
Celf2
Pgrmc1
Atxn10
Pcyt1b
Rubcn
Ppp1r16b
Gnb1
Prmt8
Wipf3
Iqsec3
Disp2
Plin3
Eif4b
Sqstm1
Nr3c1
Rwdd2b
Kcnab3
Cyp2s1
mt-Nd3
Irf2bpl
Uqcrc2
Hsbp1
Nek9
Snap25
Aff3
Rab3a
Jph4
Lsm4
Dusp5
Ctbp1
Cox5a
Cnih1
Clvs2
Rpl26
Dnajb1
Snca
Ptma
Ube2h
1110065P20Rik
Nefl
Sik3
Lin37
Tcaim
Ankrd17
Rps14
Gm5805
Gm6436
Rps18-ps1
Gm8268
Dazap2
Iqsec1
Hip1r
Osbpl2
Hnrnpa1
mt-Tn
Phactr1
Snx13
Ddx5
Fscn1
Gpsm1
Dexi
Tuba1a
Rab18
Ncan
Psmc2
Oxct1
Ptpru
Aak1
B3galnt1
Tomm40l
Aldoc
Huwe1
mt-Th
Uba52
Cdc42
Trim44
Stxbp6
Minos1
Syt4
Cst3
Pds5a
Anapc2
Extl3
Ptpra
Gm43661
Ralbp1
Reps2
Rit2
mt-Tl2
Idh3g
Celf1
Atp6v0a1
Acadsb
Zc3h7a
Gm2830
Ash2l
Alcam
Cmss1
Ypel5
Gm42418
P4htm
Atp2b1
Pde1b
Gphn
Plxna4
Cox7b
mt-Co1
Rplp1
Cacng7
Cryab
Pnkp
Tnr
Bag6
Brd3
Dync1i2
Mcl1
Pde5a
Fign
Gm29216
Atp5d
Gabarap
Pfkp
Clk1
F8
L1cam
Gria2
Gtf3c4
Gpi1
Cavin3
Thra
Uqcr10
Snhg15
Clip3
R3hdm2
Katnbl1
Tnik
Camkv
Cpeb3
Lhfpl4
Taok2
Coq9
Gfod2
Atraid
Acsbg1
Rps19-ps3
Gpalpp1
Aes
Gpbp1
Mast2
Sf3b1
Cnot11
Dynll1
Ccar1
Rnf187
Tnrc6c
Tyro3
Ccnl1
Cntnap4
Ltn1
Wdr12
Ahi1
Avpi1
Srgap2
Mast4
Taf1b
Zfp266
Hspa5
mt-Tf
Phf20l1
Tmod2
Prr14l
Castor2
1810022K09Rik
Peg3
Eno2
Meg3
Map4k3
mt-Cytb
Bmp4
Gusb
Hnrnpc
BC005537
Sdr42e1
Evl
Gm15427
Clcn4
Eef1a1
Prkcb
Gad1
Brsk1
Slc6a9
